Lung,
HSPD1P21,
HYDIN,
IFLTD1,
IL5RA,
IQCA1,
IQCD,
IQCG,
IQCH,
IQCK,
IQUB,
KB-1507C5.2,
KB-1562D12.1,
KCNH3,
KCNRG,
KIAA0319,
KIF19,
KIF24,
KIF6,
KLHL32,
LCA5L,
LDLRAD1,
LEKR1,
LPPR3,
LRGUK,
LRRC10B,
LRRC18,
LRRC23,
LRRC26,
LRRC34,
LRRC37A5P,
LRRC43,
LRRC46,
LRRC48,
LRRC56,
LRRC6,
LRRC71,
LRRC73,
LRRIQ1,
LRRIQ3,
LRTOMT,
MAATS1,
MAK,
MAP3K19,
MAP6,
MAPK15,
MAPRE3,
MARCH10,
MAT1A,
MDH1B,
MEIG1,
MIPOL1,
MIR205HG,
MNS1,
MOK,
MORN1,
MORN2,
MORN3,
MORN5,
MROH9,
MS4A8,
MUC5B,
MYB,
MYCBPAP,
NEK10,
NEK11,
NEK5,
NELL2,
NGEF,
NHLRC4,
NME5,
NME9,
NPHP1,
NUP62CL,
NWD1,
ODF3B,
OSBPL6,
OSCP1,
PACRG,
PAX9,
PCYT1B,
PIFO,
PIH1D2,
PIH1D3,
PIP,
PLEKHG7,
PLEKHS1,
PPAP2C,
PPIL6,
PPP1R32,
PPP1R36,
PPP1R42,
PROM1,
PRR15,
PRR18,
PRSS12,
PSCA,
PTPRT,
PZP,
RAB36,
RABL2A,
RABL2B,
RBM20,
RGS22,
RHPN1-AS1,
RIBC1,
RIBC2,
RIIAD1,
RN7SL475P,
RNF157-AS1,
RNF7P1,
ROPN1B,
ROPN1L,
RP1,
RPL19P18,
RPS3AP34,
RSPH1,
RSPH10B,
RSPH10B2,
RSPH4A,
RSPH9,
RTDR1,
SAMD15,
SCGB1A1,
SCGB2A1,
SDR42E2,
SEC14L3,
SERPINI2,
SIAH3,
SIX1,
SLC22A4,
SLC23A1,
SLC25A47P1,
SLC4A11,
SLC52A1,
SLC9C2,
SLFN13,
SMIM5,
SMKR1,
SNTN,
SOX2,
SPA17,
SPAG16,
SPAG17,
SPAG6,
SPAG8,
SPATA17,
SPATA18,
SPATA4,
SPATS1,
SPEF1,
SPEF2,
SRCIN1,
SRD5A2,
SRGAP3,
SRGAP3-AS2,
STK33,
STMND1,
STOML3,
STOX1,
TCF24,
TCTE1,
TCTEX1D2,
TCTEX1D4,
TEKT1,
TEKT2,
TEKT3,
TEKT4,
TEX9,
TFAP2A,
TIGD4,
TMEM190,
TMEM212,
TMEM231,
TMEM232,
TMEM52,
TMEM67,
TNS4,
TP63,
TP73,
TPPP3,
TRIM29,
TRIM55,
TRPV4,
TSGA10,
TSNAXIP1,
TSPAN1,
TSPAN19,
TTC16,
TTC18,
TTC21A,
TTC23L,
TTC25,
TTC29,
TTC34,
TTC40,
TTLL10,
TTLL10-AS1,
TTLL6,
TTLL9,
TUBA4B,
UBXN10,
USP2-AS1,
USP43,
VTCN1,
VWA3A,
VWA3B,
VWA5B2,
VWA7,
WBSCR28,
WDR16,
WDR38,
WDR49,
WDR54,
WDR63,
WDR65,
WDR66,
WDR78,
WDR86-AS1,
WDR93,
WDR96,
WFDC6,
WNK2,
Z98881.1,
ZBBX,
ZC2HC1C,
ZFHX2,
ZMYND10,
ZMYND12,
ZNF273,
ZNF440,
ZNF474,
ZNF487,
ZNF497,
ZSCAN1,
